Auberginge;Aldi          
Backerbsen;Aldi                             
Backpapier;Aldi                             
Bananen;Aldi                             
Bananen (Demter);Aldi                         2    
Bier(alkoholfrei);Aldi                             
Blumenkohl;Aldi                             
Brocoli;Aldi  
Burger vegan;Aldi                             
Butter;Aldi   
Cashewmilch;Edeka                           
Cashews;Edeka                           
Champignons;Edeka                           
Chili;Edeka                           
Currypaste;Edeka                           
Datteln;Edeka                           
Dentalux;Edeka                           
Drahtschwamm;Edeka                           
Ebly;Edeka                           
Eier;Edeka                           
Elmex Gelee;Edeka                           
Erdnuesse;Edeka                           
Fischstaebchen;Edeka                           
Fleischkuechle;Edeka                           
Frischhaltefolie;Edeka                           
Frittieroel;Penny                           
Gelati;Penny                           
Glatte Petersilie;Penny                           
Grieskloesschen;Penny                           
Gurke;Penny                           
Hack vegetarisch (HickHack);Penny                           
Hacker-Pschorr Naturradler (alkoholfrei);Penny                           
Haehnchen;Penny                           
Haferflocken;Penny                           
Handseife;Penny                           
Heftle;Penny                           
Heilbutt;Penny                           
Instantkaffe;Penny                           
Instantkaffe(koffeinfrei);Penny                           
Interdentalbuerste;Aldi        
Kaese;Penny                           
Kaese zum Ueberbacken;Aldi 
Kaffee;Penny                           
Karotten;Penny                           
Kartoffeln;Penny                           
Ketchup;Penny                           
Kichererbsen;Penny                           
Kichererbsen (Dose);Penny                           
Kidneybohnen;Penny                           
Kinderzahnpasta;Penny                           
Kiwi;Penny                           
Klopapier;Penny                           
Knoblauch;Penny                           
Knoppers;Penny                           
Kokosmilch;Penny                           
Koriander;Penny                           
Kreuzkuemmel;Penny                           
Lachs;Penny                           
Lammbraeu (alkoholfrei);Denns Biomarkt      
Lorbeerblaetter;Penny                           
Majonaise;Penny                           
Majoran;Penny                           
Markknochen;Penny                           
Milch;Penny                           
O-Saft;Penny                           
Ohrreiniger;Penny                           
Olivenoel;Penny                           
Paprika;Penny                           
Parmesan;Penny                           
Pfeffer;Penny                           
Pinienkerne;Penny                           
Pistatzien;Penny                           
Putzlappen;Penny                           
Putzschwamm;Penny                           
Raeuchertofu;Penny                           
Rapsoel;Aldi      
Rinderhack;Metzger                 
Rosmarin;Penny                           
Rotbarsch;Penny                           
Salz;Edeka     
Senf;Penny                           
Siedfleisch;Penny                           
Sojasauce;Penny                           
Spaetzle;Edeka     
Spagetti;Penny                           
Spuelmaschinentabs;Aldi       
Spuelmittel;Aldi                
Suppengruen;Aldi       
Suppennudeln;Penny                           
Teelichter;Penny                           
Thymian;Penny                           
Tomaten ;Penny                           
Tomaten in der Dose;Penny                           
Tomatenmark;Penny                           
Vollkornnudeln;Penny                           
Vollkornwecken;Penny                           
Wasser;Penny                           
Wasser still;Penny                           
Weakness;Penny                           
Zahnbuerstenaufsatz;Edeka      
Zahnpasta;Penny                           
Zewa;Penny                           
Zwickl;Penny                           
Zwiebeln;Penny                           
